user_id	invited_user_id
267089318	267089318
115957359	2529040735
267089318	65597545
108227550	200083
145719898	108227550
69582723	991271966
227083796	993586764
204374227	307077317
897990020	1476580749
31173969	2452560293
745772869	1530165633
897990020	879582232
95527289	95795199
2583622921	203683679
731243676	1836430546
45026247	263037653
332562057	936914886
45026247	1007957050
45026247	620996690
72026655	983059470
715517689	1007879251
267089318	262548762
2438121725	747334322
715517689	1009245095
34282862	307457563
34204889	819116292
198333870	2505468863
198333870	807187817
198333870	82894446
80393496	342145218
80393496	1536594699
2529040735	557634190
50443761	1186469127
6504558	2583881833
101719951	90077073
50443761	1655540482
936599545	2583915821
36467730	495860037
134659346	471611125
188318197	266193530
196874008	2449719518
92850836	1066950006
99783277	1317270736
261967470	149845272
960764331	94996637
2583984374	89380120
715517689	814480450
158814903	474028016
1749839418	2555296205
80393496	124198425
824854127	2523061045
855939	590179423
346062532	924615911
130792656	1375375682
128521073	176159773
2523061045	2286995767
346062532	918333226
293497999	480385000
2583984374	288470976
907722615	488559438
2529040735	1881890851
631094730	340379173
957138000	140972800
813989058	191791919
744933015	2568183055
744933015	1692835921
18414976	2584282930
1749839418	2584287088
77729493	2581183299
296247308	1001798599
18414976	979963842
77729493	2581181436
131677643	2584304633
131677643	2584308983
131677643	2584313177
131677643	2584315186
131677643	2584320411
816246105	1543304034
131677643	2584337910
131677643	2584340917
816246105	111823883
131677643	2584351754
1723478189	2584356424
816246105	732311979
1723478189	2584360718
2365300389	97563481
816246105	2563798459
18414976	38887594
1988592	23748134
1723478189	1491915816
34282862	2571779603
78510026	2540621570
67235973	1652096159
42895989	793275317
1440563449	31532458
255794867	2584492011
18414976	1814647050
167765826	1952216167
233421754	2216023608
608363717	2584545586
50854045	236921752
997773504	2248376755
233421754	80554572
2580478406	602266285
50854045	70934909
473905379	843599182
36337856	1052866060
171972658	171972484
2579502581	2584709363
78510026	2584718074
128099275	141911693
128099275	471774841
189132779	1435178742
203824843	116661768
816246105	2521628345
1937873851	2584742656
2253729968	1523218721
2423694154	2529997744
2222894240	2468765468
419557233	1952740272
2253729968	2584763935
2501194705	2584766074
276770366	2584770051
913029574	543650363
1790801059	869578903
1790801059	1719867657
1481750379	120390566
2584816223	250060273
1221491239	895790086
37236391	65186076
131147268	1389417
8946396	1929612363
8836260	616134880
96204458	2584841442
8836260	2584847179
101373431	97248458
1645211395	679789262
2477572422	320720942
1644934054	1828618734
77729493	2560467404
305591082	865716224
77729493	2511082493
306281344	139738429
77729493	2522321579
715517689	1009729546
47365094	161971955
90206503	1000496904
2490444655	2574724947
77729493	2531818917
77729493	2532489408
1097014591	393938640
77729493	2543078630
98884677	216391753
51744673	697762122
77729493	2547757383
77729493	2518343548
86700635	1257983471
77729493	2561018189
77729493	2564644722
77729493	1428240139
2517006225	2584901033
40960948	1809855175
185915038	2496985401
536680472	2538541175
536680472	2559828021
145664770	181003792
1721123774	2293521474
1946655273	849604742
1892429494	2560629727
1583471045	2497243281
54985948	77490103
60113600	17956926
197905483	2584934276
1673126802	1764936759
49412206	712579810
90206503	181951294
60113600	79411426
145606283	1675408245
72590200	2584943412
2557875485	81480717
2273090995	490102260
21329441	303877064
2557875485	2578559768
264455753	2582229112
1474888818	1095273559
2557875485	2428338281
76428845	220695138
253194596	1790175088
310769939	2493497808
35993733	10668400
2542499191	2235953158
1822999306	2331928158
917450925	312691759
2583596642	2211069
312010071	549656879
748394919	216577982
163695779	41279521
1509789758	2518153282
286327369	265344365
139278047	173602279
1666328683	2559152432
313850448	1951687310
1702614650	321450371
2200437823	1855344713
1698946928	54548586
66388095	81527303
573093285	1589290082
533434527	2585035257
72655873	225409765
1693766546	977292244
150235988	160978060
397065576	284863033
110749049	1014147564
110749049	1427844438
581821343	885652969
105820760	1937474480
117790541	2585185010
101722142	29554619
390287007	276145925
117790541	2585203361
105820760	113769346
110749049	113767879
440724992	441878977
94542354	57828181
440724992	1221903161
324768856	694861723
317500723	518851966
1214528421	133358705
6048202	100387165
251720105	1765461322
6048202	677958361
324768856	1751982
1055835973	2585301221
100370526	394983018
301605821	2585334666
162326330	238010739
1835835865	1511809190
17861703	90217640
1134727197	402521113
2585362212	1948466674
2585362212	2574066408
90599163	120098516
